Date,Close,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bb_position
2017-09-26,27.610000610351562,28.455677946788587,26.033322182911117,0.0,0
2017-09-27,28.06999969482422,28.50183795429797,26.29016205333143,0.0,0
2017-09-28,28.489999771118164,28.593342973280407,26.47165698857262,0.0,0
2017-09-29,28.809999465942383,28.70942046866191,26.625579378750196,-1.0,0
2017-10-02,29.389999389648438,28.865859630472865,26.81514012538651,-1.0,0
2017-10-03,29.940000534057617,29.054965768602756,27.043033994886017,-1.0,0
2017-10-04,30.149999618530273,29.248857100437302,27.25914270119844,-1.0,0
2017-10-05,30.760000228881836,29.509941960117594,27.444057940700276,-1.0,0
2017-10-06,30.760000228881836,29.734772862754358,27.642226992287146,-1.0,0
2017-10-09,31.06999969482422,30.001528056304764,27.72547179873674,-1.0,0
2017-10-10,31.31999969482422,30.264289861129704,27.86770991761785,-1.0,0
2017-10-11,32.0,30.59714862936934,27.985851172266404,-1.0,0
2017-10-12,32.810001373291016,31.01267638925456,27.98732361074544,-1.0,0
2017-10-13,32.810001373291016,31.377821065167176,28.053179072161925,-1.0,0
2017-10-16,33.220001220703125,31.75868801656757,28.12531218942608,-1.0,0
2017-10-17,32.689998626708984,32.0332794003894,28.26372072168092,-1.0,0
2017-10-18,32.52000045776367,32.26331469697001,28.43868553954122,-1.0,0
2017-10-19,32.119998931884766,32.430382298783606,28.643617869063075,0.0,0
2017-10-20,32.5,32.617282808268484,28.831717359578192,0.0,0
2017-10-23,32.529998779296875,32.74540425244804,29.211595717034385,0.0,0
2017-10-24,32.709999084472656,32.850317201267316,29.616682615627212,0.0,0
2017-10-25,32.900001525878906,32.94882269096722,30.001177309032784,0.0,0
2017-10-26,34.11000061035156,33.165081387756395,30.346918696166945,-1.0,0
2017-10-27,35.20000076293945,33.50572479077363,30.645275422849423,-1.0,0
2017-10-30,35.75,33.90020209962693,30.886798175031263,-1.0,0
2017-10-31,37.189998626708984,34.4955020744388,31.016498009484543,-1.0,0
2017-11-01,36.470001220703125,34.8856461247117,31.25835411942893,-1.0,0
2017-11-02,36.06999969482422,35.18326021336701,31.491739977367857,-1.0,0
2017-11-03,36.88999938964844,35.54728915995876,31.740710946852765,-1.0,0
2017-11-06,37.18000030517578,35.907464838202074,31.991535329644606,-1.0,0
2017-11-07,36.7599983215332,36.17279974938156,32.27020028113602,-1.0,0
2017-11-08,36.709999084472656,36.410299514331726,32.503700424633124,-1.0,0
2017-11-09,37.959999084472656,36.77572684947147,32.65327286061154,-1.0,0
2017-11-10,39.209999084472656,37.27361232384516,32.79538715735602,-1.0,0
2017-11-13,39.97999954223633,37.82348831425963,32.92151099909487,-1.0,0
