Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position
2018-09-17,86.86000061035156,84.0,12.0,0,1
2018-09-18,87.98999786376953,80.0,8.0,0,1
2018-09-19,84.80000305175781,76.0,4.0,0,1
2018-09-20,86.51000213623047,72.0,4.0,0,1
2018-09-21,85.30000305175781,68.0,4.0,0,1
2018-09-24,86.04000091552734,64.0,4.0,0,1
2018-09-25,95.3499984741211,100.0,4.0,0,1
2018-09-26,94.6500015258789,96.0,4.0,0,1
2018-09-27,97.95999908447266,100.0,4.0,0,1
2018-09-28,99.01000213623047,100.0,4.0,0,1
2018-10-01,97.27999877929688,96.0,4.0,0,1
2018-10-02,97.83000183105469,92.0,4.0,0,1
2018-10-03,96.95999908447266,88.0,60.0,0,1
2018-10-04,94.48999786376953,84.0,56.00000000000001,0,1
2018-10-05,94.11000061035156,80.0,52.0,0,1
2018-10-08,86.05999755859375,76.0,48.0,0,1
2018-10-09,86.16999816894531,72.0,44.0,0,1
2018-10-10,77.44999694824219,68.0,100.0,0,1
2018-10-11,69.02999877929688,64.0,100.0,0,1
2018-10-12,73.97000122070312,60.0,96.0,0,1
2018-10-15,73.7699966430664,56.00000000000001,92.0,0,1
2018-10-16,78.72000122070312,52.0,88.0,0,1
2018-10-17,78.05000305175781,48.0,84.0,0,1
2018-10-18,74.95999908447266,44.0,80.0,0,1
2018-10-19,74.06999969482422,40.0,76.0,0,1
2018-10-22,75.72000122070312,36.0,72.0,0,1
2018-10-23,74.1500015258789,32.0,68.0,0,1
2018-10-24,69.33999633789062,28.000000000000004,64.0,0,1
2018-10-25,73.48999786376953,24.0,60.0,0,1
2018-10-26,71.12000274658203,20.0,56.00000000000001,0,1
2018-10-29,67.27999877929688,16.0,100.0,-1,0
2018-10-30,68.76000213623047,12.0,96.0,0,0
2018-10-31,73.44999694824219,8.0,92.0,0,0
2018-11-01,76.73999786376953,4.0,88.0,0,0
2018-11-02,77.76000213623047,8.0,84.0,0,0
2018-11-05,75.01000213623047,4.0,80.0,0,0
2018-11-06,77.30999755859375,4.0,76.0,0,0
2018-11-07,82.69000244140625,4.0,72.0,0,0
2018-11-08,75.2300033569336,4.0,68.0,0,0
2018-11-09,73.2699966430664,8.0,64.0,0,0
2018-11-12,69.83000183105469,4.0,60.0,0,0
2018-11-13,71.8499984741211,84.0,56.00000000000001,0,0
2018-11-14,69.80999755859375,80.0,52.0,0,0
2018-11-15,73.5999984741211,76.0,48.0,0,0
2018-11-16,70.58999633789062,72.0,44.0,0,0
2018-11-19,62.970001220703125,68.0,100.0,0,0
2018-11-20,61.81999969482422,64.0,100.0,0,0
2018-11-21,62.619998931884766,60.0,96.0,0,0
2018-11-23,63.470001220703125,56.00000000000001,92.0,0,0
2018-11-26,66.5199966430664,52.0,88.0,0,0
2018-11-27,65.87999725341797,48.0,84.0,0,0
2018-11-28,69.88999938964844,44.0,80.0,0,0
2018-11-29,69.9000015258789,40.0,76.0,0,0
2018-11-30,69.83999633789062,36.0,72.0,0,0
2018-12-03,71.94999694824219,32.0,68.0,0,0
2018-12-04,63.5099983215332,28.000000000000004,64.0,0,0
2018-12-06,65.69000244140625,24.0,60.0,0,0
2018-12-07,60.779998779296875,20.0,100.0,0,0
2018-12-10,63.380001068115234,16.0,96.0,0,0
2018-12-11,61.779998779296875,12.0,92.0,0,0
2018-12-12,63.650001525878906,8.0,88.0,0,0
2018-12-13,62.900001525878906,4.0,84.0,0,0
2018-12-14,62.13999938964844,4.0,80.0,0,0
2018-12-17,58.619998931884766,20.0,100.0,0,0
2018-12-18,59.91999816894531,16.0,96.0,0,0
2018-12-19,59.029998779296875,12.0,92.0,0,0
2018-12-20,55.900001525878906,8.0,100.0,0,0
2018-12-21,52.5099983215332,4.0,100.0,0,0
2018-12-24,50.720001220703125,44.0,100.0,0,0
2018-12-26,55.31999969482422,40.0,96.0,0,0
2018-12-27,56.150001525878906,36.0,92.0,0,0
2018-12-28,55.869998931884766,32.0,88.0,0,0
2018-12-31,56.09000015258789,28.000000000000004,84.0,0,0
2019-01-02,57.20000076293945,24.0,80.0,0,0
2019-01-03,52.41999816894531,20.0,76.0,0,0
2019-01-04,58.18000030517578,16.0,72.0,0,0
2019-01-07,60.720001220703125,12.0,68.0,0,0
2019-01-08,63.119998931884766,8.0,64.0,0,0
2019-01-09,65.93000030517578,4.0,60.0,0,0
2019-01-10,66.0999984741211,100.0,56.00000000000001,0,0
