Date,Close,ao,ao_signal,ao_position
2020-06-18,98.2699966430664,10.963263477998623,0,1
2020-06-19,97.9800033569336,12.305646066104657,0,1
2020-06-22,104.22000122070312,13.643205137813794,0,1
2020-06-23,104.75,14.810470177145575,0,1
2020-06-24,100.87999725341797,15.154705586152915,0,1
2020-06-25,104.77999877929688,15.265117488187897,0,1
2020-06-26,104.30000305175781,15.689147141400497,0,1
2020-06-29,103.68000030517578,15.428470566693463,0,1
2020-06-30,104.94000244140625,14.533029511395611,0,1
2020-07-01,115.9000015258789,14.99755953620462,0,1
2020-07-02,113.38999938964844,16.22379527372472,0,1
2020-07-06,118.97000122070312,17.465030423332664,0,1
2020-07-07,125.5999984741211,19.834618287927967,0,1
2020-07-08,133.35000610351562,23.351883069206693,0,1
2020-07-09,129.38999938964844,26.049971389770505,0,1
2020-07-10,128.0500030517578,27.483942076739154,0,1
2020-07-13,118.6500015258789,27.68676587273093,0,1
2020-07-14,121.23999786376953,26.077442303825833,0,1
2020-07-15,122.19999694824219,23.326000191183653,0,1
2020-07-16,119.94999694824219,20.068322641709273,0,1
2020-07-17,120.7300033569336,17.216146020328296,0,1
2020-07-20,128.38999938964844,16.203439959357766,0,1
2020-07-21,126.98999786376953,16.50743980407715,0,1
2020-07-22,129.17999267578125,16.659851298612708,0,1
2020-07-23,122.93000030517578,16.590851346184223,0,1
2020-07-24,121.41000366210938,15.976116382374485,0,1
2020-07-27,125.75,14.785851759069104,0,1
2020-07-28,123.51000213623047,13.142822826609887,0,1
2020-07-29,128.5500030517578,11.69329483929802,0,1
2020-07-30,129.1300048828125,11.078531512092141,0,1
2020-07-31,129.85000610351562,11.275326134176822,0,1
2020-08-03,134.8000030517578,11.745944213867176,0,1
2020-08-04,136.8300018310547,12.71985615001006,0,1
2020-08-05,146.5500030517578,14.504650115966797,0,1
2020-08-06,154.0,17.243855397841514,0,1
2020-08-07,147.22000122070312,19.92417793273927,0,1
2020-08-10,139.33999633789062,20.874588640998383,0,1
2020-08-11,138.25,20.46147021125344,0,1
2020-08-12,139.02000427246094,18.79694063523236,0,1
2020-08-13,143.19000244140625,15.837205550249891,0,1
2020-08-14,141.9600067138672,13.111529765409571,0,1
2020-08-17,152.47999572753906,12.628059678919158,0,1
2020-08-18,151.0399932861328,13.825470913157744,0,1
2020-08-19,150.3699951171875,15.054616613949037,0,1
2020-08-20,155.86000061035156,16.32514500337487,0,1
2020-08-21,155.10000610351562,17.750262316535498,0,1
2020-08-24,151.7899932861328,18.078791427612316,0,1
2020-08-25,155.0,17.702262609145208,0,1
2020-08-26,153.74000549316406,17.758793729894307,0,1
2020-08-27,155.61000061035156,17.307412360696247,0,1
2020-08-28,155.92999267578125,16.411881772209625,0,1
2020-08-31,159.55999755859375,16.160116285436317,0,1
2020-09-01,166.66000366210938,16.885764043471397,0,1
2020-09-02,162.8800048828125,17.680617074405433,0,1
2020-09-03,152.86000061035156,17.215793407664563,0,1
2020-09-04,146.38999938964844,15.249588237089256,0,1
2020-09-08,139.11000061035156,11.807647996790251,0,1
2020-09-09,144.2100067138672,7.118383654426111,0,1
2020-09-10,141.07000732421875,2.204589776431817,0,1
2020-09-11,137.4499969482422,-2.0200574089498957,-1,0
2020-09-14,144.39999389648438,-4.270205194809876,0,0
