Date,Close,RSI,rsi_signal,rsi_position
2020-07-30,129.1300048828125,62.8086857150224,0,0
2020-07-31,129.85000610351562,63.421155258757295,0,0
2020-08-03,134.8000030517578,67.39640846758829,0,0
2020-08-04,136.8300018310547,68.88960136869477,0,0
2020-08-05,146.5500030517578,74.83302533320607,0,0
2020-08-06,154.0,78.26105149474452,0,0
2020-08-07,147.22000122070312,69.04390170236721,0,0
2020-08-10,139.33999633789062,60.173597787720645,0,0
2020-08-11,138.25,59.04362132786753,0,0
2020-08-12,139.02000427246094,59.62049037571629,0,0
2020-08-13,143.19000244140625,62.68568838210221,0,0
2020-08-14,141.9600067138672,61.20974238475592,0,0
2020-08-17,152.47999572753906,68.12291021835985,0,0
2020-08-18,151.0399932861328,66.37902486410644,0,0
2020-08-19,150.3699951171875,65.5383743689071,0,0
2020-08-20,155.86000061035156,69.00251066387828,0,0
2020-08-21,155.10000610351562,67.98371644811394,0,0
2020-08-24,151.7899932861328,63.580695443932846,0,0
2020-08-25,155.0,65.88804509880228,0,0
2020-08-26,153.74000549316406,64.16951202414982,0,0
2020-08-27,155.61000061035156,65.6034255782132,0,0
2020-08-28,155.92999267578125,65.85523834970617,0,0
2020-08-31,159.55999755859375,68.65833046630003,0,0
2020-09-01,166.66000366210938,73.27897531388898,0,0
2020-09-02,162.8800048828125,67.56765000944516,0,0
2020-09-03,152.86000061035156,55.27032946903526,0,0
2020-09-04,146.38999938964844,49.0611965843671,0,0
2020-09-08,139.11000061035156,43.18277087247802,0,0
2020-09-09,144.2100067138672,47.89301001411549,0,0
2020-09-10,141.07000732421875,45.397613951354764,0,0
2020-09-11,137.4499969482422,42.63930800472175,0,0
2020-09-14,144.39999389648438,49.04093468213746,0,0
2020-09-15,154.5,56.61809218387799,0,0
2020-09-16,151.0500030517578,53.68183577131219,0,0
2020-09-17,145.63999938964844,49.359000965964185,0,0
2020-09-18,145.00999450683594,48.86551500684461,0,0
2020-09-21,151.1199951171875,53.70021404582496,0,0
2020-09-22,155.58999633789062,56.9100485026974,0,0
2020-09-23,149.58999633789062,51.7263061304737,0,0
2020-09-24,152.30999755859375,53.78159078193013,0,0
2020-09-25,157.72000122070312,57.64425466594915,0,0
2020-09-28,160.75999450683594,59.68325428072622,0,0
2020-09-29,164.80999755859375,62.28792402201856,0,0
2020-09-30,162.5500030517578,59.96001685190127,0,0
2020-10-01,168.49000549316406,63.790457698291156,0,0
2020-10-02,169.61000061035156,64.4804379573049,0,0
2020-10-05,180.9199981689453,70.57754247574759,0,0
2020-10-06,175.33999633789062,64.67861243548492,0,0
2020-10-07,180.17999267578125,67.23655970025922,0,0
2020-10-08,183.5,68.90031158579706,0,0
2020-10-09,187.27999877929688,70.7231995449069,0,0
2020-10-12,185.1699981689453,68.31605418141123,0,0
2020-10-13,190.47000122070312,70.98726018816785,0,0
2020-10-14,187.49000549316406,67.53940092704872,0,0
2020-10-15,188.60000610351562,68.15975239089194,0,0
2020-10-16,186.35000610351562,65.43012712917675,0,0
2020-10-19,186.9600067138672,65.82966385894566,0,0
2020-10-20,185.74000549316406,64.23078041346213,0,0
2020-10-21,177.82000732421875,54.907360683837005,0,0
2020-10-22,175.92999267578125,52.93275094444447,0,0
2020-10-23,176.77000427246094,53.72920812744751,0,0
2020-10-26,169.88999938964844,46.751297060450824,0,0
2020-10-27,171.02000427246094,47.94703691233443,0,0
2020-10-28,167.1300048828125,44.2622290444001,0,0
2020-10-29,169.86000061035156,47.321937092093236,0,0
2020-10-30,154.8800048828125,35.73117290538019,1,1
2020-11-02,155.22999572753906,36.12482389239886,0,1
2020-11-03,158.2100067138672,39.52152747321142,0,1
2020-11-04,171.2899932861328,51.669883182034035,0,1
2020-11-05,175.22999572753906,54.62648593926118,0,1
2020-11-06,198.0800018310547,67.17002732010724,0,1
2020-11-09,184.0800018310547,56.80782007251385,0,1
2020-11-10,172.0,49.68537700457757,0,1
2020-11-11,183.4199981689453,55.38080435933684,0,1
2020-11-12,178.50999450683594,52.62273022218353,0,1
2020-11-13,177.19000244140625,51.874772467140765,0,1
2020-11-16,179.16000366210938,52.949619569341806,0,1
2020-11-17,187.89999389648438,57.486240960832504,0,1
2020-11-18,185.5399932861328,55.91837198339567,0,1
2020-11-19,191.66000366210938,59.0383265758413,0,1
2020-11-20,195.97000122070312,61.12507348130177,0,1
2020-11-23,207.77999877929688,66.2054532769337,0,1
2020-11-24,202.89999389648438,62.566918762443244,0,1
2020-11-25,212.9199981689453,66.62304765973838,0,1
2020-11-27,212.52000427246094,66.31413732618587,0,1
2020-11-30,210.9600067138672,65.04738125211705,0,1
2020-12-01,203.0,58.868059746766434,0,1
2020-12-02,202.0,58.12106798853305,0,1
2020-12-03,205.52999877929688,60.048285563750106,0,1
2020-12-04,208.14999389648438,61.465688611649554,0,1
2020-12-07,212.5800018310547,63.804024689265034,0,1
2020-12-08,213.00999450683594,64.03217169935246,0,1
2020-12-09,207.0399932861328,58.51728364074558,0,1
2020-12-10,217.25,64.19663352726552,0,1
2020-12-11,216.58999633789062,63.5905547833729,0,1
2020-12-14,215.86000061035156,62.883404851596936,0,1
2020-12-15,219.99000549316406,65.23862123593337,0,1
2020-12-16,227.0800018310547,68.88838961807453,0,1
2020-12-17,230.74000549316406,70.60421678251649,-1,0
2020-12-18,235.4499969482422,72.69145890145114,0,0
2020-12-21,233.5,70.46079654571218,0,0
2020-12-22,241.5800018310547,74.01855144097247,0,0
2020-12-23,230.67999267578125,62.99582348270598,0,0
2020-12-24,228.27999877929688,60.84721555135353,0,0
2020-12-28,223.33999633789062,56.570254829031725,0,0
2020-12-29,214.0,49.48761292873615,0,0
2020-12-30,221.0399932861328,54.14754869169135,0,0
2020-12-31,217.63999938964844,51.668426956426764,0,0
2021-01-04,221.16000366210938,54.015775888864546,0,0
2021-01-05,229.75,59.220769700585215,0,0
2021-01-06,226.88999938964844,56.911016755140075,0,0
2021-01-07,239.47999572753906,63.63490347306809,0,0
2021-01-08,241.4499969482422,64.56663776668984,0,0
2021-01-11,225.5,52.776326159261345,0,0
2021-01-12,227.52000427246094,53.92387048305889,0,0
2021-01-13,230.9199981689453,55.867779827268066,0,0
2021-01-14,232.7899932861328,56.943708922697276,0,0
2021-01-15,227.75,53.18053131013265,0,0
2021-01-19,227.25999450683594,52.815085800835384,0,0
2021-01-20,226.64999389648438,52.33296122307658,0,0
2021-01-21,219.6199951171875,47.00727008717598,0,0
2021-01-22,222.8800048828125,49.57019728678469,0,0
2021-01-25,216.63999938964844,45.07633904450877,0,0
2021-01-26,209.1699981689453,40.35936555014873,0,0
2021-01-27,202.4600067138672,36.6494173069562,1,1
2021-01-28,219.91000366210938,49.61953135785897,0,1
