Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position,macd,signal,macd_signal,macd_position,RSI,rsi_signal,rsi_position
2020-04-30,65.13999938964844,96.0,28.000000000000004,0,1,1.9649477323049356,0.9181469340947884,0,1,58.40473103395353,0,1
2020-05-01,63.0,92.0,24.0,0,1,1.931874296499984,1.1208924065758277,0,1,54.8362256458102,0,1
2020-05-04,63.68999862670898,88.0,20.0,0,1,1.938989024464334,1.284511730153529,0,1,55.77450104619039,0,1
2020-05-05,66.69000244140625,100.0,16.0,0,1,2.1617830441334576,1.4599659929495146,0,1,59.69513120995737,0,1
2020-05-06,68.0999984741211,100.0,12.0,0,1,2.424179375040844,1.6528086693677804,0,1,61.42597876096556,0,1
2020-05-07,74.62000274658203,100.0,8.0,0,1,3.122248871132797,1.946696709720784,0,1,68.22184288663415,0,1
2020-05-08,76.05000305175781,100.0,4.0,0,1,3.747662331205945,2.306889834017816,0,1,69.49137962730333,0,1
2020-05-11,74.9000015258789,96.0,8.0,0,1,4.103212215737813,2.6661543103618155,0,1,67.16745297970904,0,1
2020-05-12,75.20999908447266,92.0,4.0,0,1,4.359745836888635,3.00487261566718,0,1,67.48313128746207,0,1
2020-05-13,73.79000091552734,88.0,4.0,0,1,4.397773796257425,3.283452851785229,0,1,64.42733414309721,0,1
2020-05-14,78.19999694824219,100.0,20.0,0,1,4.729245256534938,3.5726113327351707,0,1,69.10615442422225,0,1
2020-05-15,80.26000213623047,100.0,16.0,0,1,5.09938148392483,3.877965362973103,0,1,71.02341834727628,-1,0
2020-05-18,76.62999725341797,96.0,12.0,0,1,5.04168860608371,4.110710011595224,0,1,63.540297616745,0,0
2020-05-19,79.25,92.0,8.0,0,1,5.148035560709516,4.318175121418083,0,1,66.30016477913635,0,0
2020-05-20,82.04000091552734,100.0,4.0,0,1,5.395252927985936,4.533590682731654,0,1,68.99192943409989,0,0
2020-05-21,81.48999786376953,96.0,12.0,0,1,5.483582497330247,4.723589045651373,0,1,67.84152551966775,0,0
2020-05-22,81.48999786376953,92.0,8.0,0,1,5.4902956072458124,4.876930357970261,0,1,67.84152551966775,0,0
2020-05-26,80.79000091552734,88.0,4.0,0,1,5.377147482593429,4.976973782894895,0,1,66.21189740807253,0,0
2020-05-27,81.0199966430664,84.0,4.0,0,1,5.245567870517405,5.030692600419397,0,1,66.49666414504003,0,0
2020-05-28,79.62000274658203,80.0,16.0,0,1,4.971019454834959,5.018757971302509,-1,0,63.01520072934837,0,0
2020-05-29,81.08000183105469,76.0,12.0,0,1,4.815734788832742,4.978153334808557,0,0,65.06911668731925,0,0
2020-06-01,82.72000122070312,100.0,8.0,0,1,4.770019007078375,4.936526469262521,0,0,67.26802632500417,0,0
2020-06-02,88.0,100.0,4.0,0,1,5.101039092005848,4.969428993811187,1,1,73.1321769092477,0,0
2020-06-03,91.97000122070312,100.0,12.0,0,1,5.618949066839818,5.099333008416913,0,1,76.5360649708888,0,0
2020-06-04,87.72000122070312,96.0,8.0,0,1,5.621654043512123,5.203797215435955,0,1,66.7820090159901,0,0
2020-06-05,89.93000030517578,92.0,4.0,0,1,5.7360051169482205,5.3102387957384085,0,1,68.9948052502194,0,0
2020-06-08,89.62000274658203,88.0,4.0,0,1,5.735499684146262,5.395290973419979,0,1,68.30744100180843,0,0
2020-06-09,89.52999877929688,84.0,4.0,0,1,5.662562066365311,5.448745192009046,0,1,68.09532379541854,0,0
2020-06-10,91.91000366210938,80.0,4.0,0,1,5.730744526660288,5.505145058939294,0,1,70.68748410719823,0,0
2020-06-11,86.08999633789062,76.0,20.0,0,1,5.254582114684069,5.45503247008825,-1,0,58.228716161733495,0,0
2020-06-12,86.72000122070312,72.0,16.0,0,1,4.871895918007581,5.338405159672116,0,0,59.06969035700112,0,0
2020-06-15,91.0,68.0,12.0,0,1,4.857974772885768,5.242319082314847,0,0,64.32452467734925,0,0
2020-06-16,94.73999786376952,100.0,8.0,0,1,5.090053764867292,5.2118660188253365,0,0,68.17010270105551,0,0
2020-06-17,97.02999877929688,100.0,4.0,0,1,5.396553859939118,5.2488035870480925,1,1,70.2823978812211,0,0
